state,district,soil_type,season,irrigation_available,land_area,climate_zone,label_crop
Karnataka,Hubli,Red,Rabi,1,24.9,Semi-arid,Sunflower
Maharashtra,Satara,Sandy,Zaid,0,8.0,Humid,Groundnut
Gujarat,Rajkot,Clay,Zaid,1,15.0,Semi-arid,Onion
Gujarat,Rajkot,Alluvial,Rabi,1,16.3,Semi-arid,Wheat
Maharashtra,Kolhapur,Laterite,Kharif,1,14.5,Humid,Tur
Maharashtra,Nagpur,Laterite,Rabi,0,22.9,Sub-humid,Gram
Maharashtra,Kolhapur,Sandy,Kharif,1,14.5,Humid,Groundnut
Gujarat,Junagadh,Sandy,Zaid,1,12.4,Arid,Groundnut
Karnataka,Hubli,Alluvial,Rabi,1,15.6,Semi-arid,Wheat
Karnataka,Mysore,Red,Rabi,1,21.3,Humid,Sunflower
Karnataka,Gulbarga,Red,Zaid,1,6.8,Semi-arid,Maize
Karnataka,Belgaum,Laterite,Kharif,1,2.2,Semi-arid,Groundnut
Karnataka,Bangalore Rural,Alluvial,Zaid,1,14.7,Semi-arid,Maize
Gujarat,Rajkot,Black,Rabi,1,7.5,Semi-arid,Gram
Karnataka,Belgaum,Laterite,Rabi,0,9.3,Semi-arid,Sunflower
Maharashtra,Solapur,Sandy,Kharif,1,21.1,Arid,Groundnut
Karnataka,Mysore,Loamy,Kharif,0,18.0,Humid,Maize
Gujarat,Rajkot,Laterite,Rabi,1,1.1,Semi-arid,Wheat
Gujarat,Ahmedabad,Laterite,Kharif,1,22.9,Arid,Groundnut
Karnataka,Belgaum,Sandy,Kharif,1,13.2,Semi-arid,Groundnut
Maharashtra,Satara,Sandy,Zaid,1,14.4,Humid,Groundnut
Karnataka,Belgaum,Sandy,Rabi,1,2.8,Semi-arid,Gram
Karnataka,Bangalore Rural,Sandy,Rabi,0,20.3,Semi-arid,Gram
Karnataka,Gulbarga,Loamy,Rabi,1,16.1,Semi-arid,Sunflower
Gujarat,Surat,Red,Zaid,1,21.5,Humid,Maize
Gujarat,Surat,Black,Zaid,0,17.1,Humid,Sunflower
Maharashtra,Pune,Sandy,Zaid,0,15.8,Semi-arid,Groundnut
Karnataka,Mysore,Laterite,Kharif,1,3.0,Humid,Groundnut
Gujarat,Surat,Alluvial,Zaid,1,8.3,Humid,Onion
Karnataka,Hubli,Alluvial,Kharif,1,17.5,Semi-arid,Maize
Gujarat,Junagadh,Laterite,Kharif,0,7.4,Arid,Groundnut
Maharashtra,Solapur,Alluvial,Kharif,0,3.6,Arid,Maize
Gujarat,Junagadh,Laterite,Kharif,1,18.6,Arid,Groundnut
Karnataka,Belgaum,Black,Rabi,1,10.0,Semi-arid,Sunflower
Gujarat,Ahmedabad,Laterite,Kharif,0,2.7,Arid,Groundnut
Karnataka,Bangalore Rural,Alluvial,Rabi,1,11.5,Semi-arid,Gram
Maharashtra,Nagpur,Alluvial,Kharif,0,19.9,Sub-humid,Rice
Maharashtra,Kolhapur,Red,Rabi,1,14.0,Humid,Sunflower
Gujarat,Junagadh,Alluvial,Zaid,1,4.0,Arid,Onion
Maharashtra,Kolhapur,Clay,Zaid,1,6.0,Humid,Maize
Gujarat,Surat,Red,Kharif,1,6.2,Humid,Jowar
Maharashtra,Pune,Clay,Kharif,0,24.7,Semi-arid,Rice
Karnataka,Bangalore Rural,Loamy,Zaid,0,14.2,Semi-arid,Maize
Karnataka,Mysore,Loamy,Rabi,1,0.8,Humid,Gram
Karnataka,Bangalore Rural,Laterite,Kharif,0,18.7,Semi-arid,Tur
Karnataka,Belgaum,Loamy,Kharif,1,13.4,Semi-arid,Cotton
Karnataka,Bangalore Rural,Sandy,Kharif,1,22.3,Semi-arid,Groundnut
Gujarat,Vadodara,Sandy,Zaid,1,2.3,Semi-arid,Groundnut
Maharashtra,Satara,Loamy,Zaid,0,17.6,Humid,Maize
Gujarat,Ahmedabad,Alluvial,Rabi,0,22.3,Arid,Onion
Maharashtra,Solapur,Red,Rabi,1,6.1,Arid,Sunflower
Maharashtra,Pune,Laterite,Zaid,1,13.6,Semi-arid,Groundnut
Maharashtra,Nagpur,Sandy,Kharif,0,20.7,Sub-humid,Groundnut
Maharashtra,Ahmednagar,Black,Rabi,1,22.0,Semi-arid,Gram
Maharashtra,Ahmednagar,Black,Rabi,0,24.7,Semi-arid,Sunflower
Maharashtra,Nashik,Loamy,Kharif,0,21.1,Semi-arid,Soybean
Karnataka,Belgaum,Alluvial,Zaid,1,1.9,Semi-arid,Onion
Maharashtra,Kolhapur,Loamy,Kharif,0,14.1,Humid,Soybean
Maharashtra,Nashik,Red,Zaid,1,11.5,Semi-arid,Groundnut
Gujarat,Junagadh,Sandy,Rabi,0,19.0,Arid,Sunflower
Gujarat,Surat,Red,Rabi,1,20.9,Humid,Sunflower
Maharashtra,Satara,Laterite,Kharif,1,19.9,Humid,Tur
Gujarat,Junagadh,Sandy,Rabi,0,5.7,Arid,Sunflower
Karnataka,Hubli,Red,Rabi,1,11.2,Semi-arid,Sunflower
Maharashtra,Satara,Black,Zaid,1,15.7,Humid,Sunflower
Maharashtra,Kolhapur,Laterite,Rabi,0,12.6,Humid,Gram
Maharashtra,Nashik,Clay,Kharif,1,5.6,Semi-arid,Rice
Gujarat,Rajkot,Loamy,Kharif,1,14.8,Semi-arid,Cotton
Maharashtra,Aurangabad,Alluvial,Zaid,1,4.7,Semi-arid,Maize
Gujarat,Junagadh,Sandy,Rabi,1,4.8,Arid,Sunflower
Maharashtra,Kolhapur,Black,Rabi,0,3.7,Humid,Gram
Gujarat,Ahmedabad,Red,Kharif,1,17.4,Arid,Jowar
Gujarat,Junagadh,Black,Rabi,0,2.6,Arid,Gram
Gujarat,Surat,Laterite,Zaid,1,18.2,Humid,Groundnut
Gujarat,Rajkot,Loamy,Zaid,0,13.0,Semi-arid,Sunflower
Maharashtra,Nashik,Red,Rabi,1,6.4,Semi-arid,Sunflower
Maharashtra,Nagpur,Red,Zaid,1,5.7,Sub-humid,Groundnut
Maharashtra,Pune,Sandy,Kharif,1,19.8,Semi-arid,Groundnut
Gujarat,Vadodara,Loamy,Rabi,1,18.8,Semi-arid,Gram
Gujarat,Surat,Black,Kharif,1,16.3,Humid,Soybean
Gujarat,Junagadh,Clay,Kharif,0,0.7,Arid,Rice
Karnataka,Bangalore Rural,Clay,Zaid,1,20.2,Semi-arid,Groundnut
Maharashtra,Ahmednagar,Alluvial,Zaid,1,17.6,Semi-arid,Onion
Karnataka,Hubli,Laterite,Zaid,0,20.5,Semi-arid,Groundnut
Karnataka,Mysore,Clay,Kharif,0,13.6,Humid,Rice
Maharashtra,Nagpur,Sandy,Rabi,0,17.9,Sub-humid,Sunflower
Maharashtra,Nagpur,Loamy,Kharif,1,7.6,Sub-humid,Sunflower
Gujarat,Vadodara,Sandy,Zaid,1,9.5,Semi-arid,Groundnut
Maharashtra,Ahmednagar,Red,Rabi,1,20.3,Semi-arid,Sunflower
Maharashtra,Pune,Black,Kharif,1,12.1,Semi-arid,Sunflower
Karnataka,Belgaum,Sandy,Rabi,0,10.5,Semi-arid,Wheat
Gujarat,Ahmedabad,Red,Zaid,1,18.7,Arid,Maize
Maharashtra,Solapur,Alluvial,Kharif,0,20.1,Arid,Rice
Maharashtra,Kolhapur,Alluvial,Zaid,1,22.7,Humid,Maize
Karnataka,Belgaum,Red,Zaid,0,22.5,Semi-arid,Maize
Maharashtra,Ahmednagar,Loamy,Zaid,1,9.2,Semi-arid,Maize
Karnataka,Gulbarga,Alluvial,Zaid,1,23.5,Semi-arid,Onion
Karnataka,Bangalore Rural,Loamy,Zaid,1,13.6,Semi-arid,Sunflower
Maharashtra,Satara,Black,Kharif,0,19.6,Humid,Cotton
Karnataka,Hubli,Red,Kharif,0,8.9,Semi-arid,Groundnut
Gujarat,Vadodara,Sandy,Zaid,0,4.2,Semi-arid,Groundnut
Maharashtra,Nashik,Alluvial,Zaid,1,14.4,Semi-arid,Onion
Gujarat,Junagadh,Laterite,Zaid,0,8.9,Arid,Groundnut
Gujarat,Surat,Clay,Zaid,1,14.9,Humid,Sunflower
Maharashtra,Pune,Loamy,Zaid,0,14.3,Semi-arid,Sunflower
Maharashtra,Solapur,Loamy,Rabi,0,9.7,Arid,Sunflower
Gujarat,Junagadh,Clay,Kharif,0,11.5,Arid,Rice
Maharashtra,Nashik,Clay,Rabi,0,8.6,Semi-arid,Gram
Gujarat,Junagadh,Loamy,Kharif,0,5.5,Arid,Soybean
Karnataka,Belgaum,Alluvial,Zaid,1,21.7,Semi-arid,Onion
Gujarat,Surat,Alluvial,Rabi,0,14.9,Humid,Gram
Gujarat,Rajkot,Clay,Kharif,1,10.8,Semi-arid,Rice
Maharashtra,Kolhapur,Loamy,Zaid,1,0.8,Humid,Sunflower
Gujarat,Ahmedabad,Laterite,Kharif,1,10.7,Arid,Groundnut
Maharashtra,Solapur,Black,Zaid,1,2.1,Arid,Sunflower
Gujarat,Rajkot,Clay,Rabi,1,1.4,Semi-arid,Gram
Gujarat,Surat,Black,Rabi,0,13.4,Humid,Gram
Maharashtra,Nashik,Clay,Rabi,0,3.0,Semi-arid,Gram
Gujarat,Rajkot,Red,Rabi,0,13.4,Semi-arid,Sunflower
Gujarat,Vadodara,Red,Zaid,1,1.2,Semi-arid,Groundnut
Gujarat,Rajkot,Loamy,Kharif,1,8.8,Semi-arid,Sunflower
Gujarat,Ahmedabad,Laterite,Zaid,0,20.2,Arid,Groundnut
Karnataka,Mysore,Laterite,Kharif,1,10.5,Humid,Groundnut
Karnataka,Hubli,Loamy,Kharif,1,1.2,Semi-arid,Maize
Maharashtra,Nagpur,Red,Rabi,0,15.8,Sub-humid,Sunflower
Gujarat,Surat,Alluvial,Zaid,1,20.9,Humid,Maize
Karnataka,Belgaum,Red,Kharif,1,23.7,Semi-arid,Groundnut
Maharashtra,Nashik,Clay,Zaid,0,20.1,Semi-arid,Maize
Gujarat,Ahmedabad,Clay,Kharif,1,16.0,Arid,Rice
Karnataka,Mysore,Clay,Rabi,1,4.7,Humid,Gram
Gujarat,Surat,Sandy,Rabi,1,7.2,Humid,Onion
Maharashtra,Satara,Red,Zaid,1,3.9,Humid,Groundnut
Gujarat,Rajkot,Red,Kharif,1,4.8,Semi-arid,Tur
Karnataka,Gulbarga,Laterite,Rabi,1,1.7,Semi-arid,Sunflower
Gujarat,Ahmedabad,Alluvial,Kharif,1,6.5,Arid,Maize
Gujarat,Vadodara,Black,Zaid,1,14.4,Semi-arid,Sunflower
Gujarat,Junagadh,Black,Rabi,1,6.9,Arid,Gram
Gujarat,Ahmedabad,Clay,Zaid,1,8.7,Arid,Onion
Maharashtra,Pune,Black,Kharif,1,17.8,Semi-arid,Soybean
Maharashtra,Ahmednagar,Alluvial,Zaid,1,0.6,Semi-arid,Onion
Karnataka,Hubli,Laterite,Zaid,1,20.3,Semi-arid,Groundnut
Maharashtra,Nashik,Black,Zaid,1,2.6,Semi-arid,Sunflower
Gujarat,Junagadh,Black,Zaid,0,16.1,Arid,Sunflower
Karnataka,Belgaum,Laterite,Zaid,1,1.8,Semi-arid,Groundnut
Karnataka,Belgaum,Loamy,Rabi,1,22.9,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Black,Zaid,0,24.3,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Loamy,Zaid,1,20.8,Semi-arid,Maize
Gujarat,Rajkot,Laterite,Kharif,1,17.6,Semi-arid,Groundnut
Gujarat,Vadodara,Loamy,Zaid,0,13.7,Semi-arid,Sunflower
Maharashtra,Nashik,Black,Kharif,1,6.2,Semi-arid,Cotton
Karnataka,Hubli,Clay,Zaid,0,13.5,Semi-arid,Onion
Gujarat,Rajkot,Loamy,Rabi,1,19.3,Semi-arid,Gram
Maharashtra,Nagpur,Black,Zaid,1,2.7,Sub-humid,Sunflower
Maharashtra,Pune,Clay,Kharif,1,9.2,Semi-arid,Rice
Karnataka,Gulbarga,Black,Kharif,0,1.6,Semi-arid,Cotton
Maharashtra,Solapur,Laterite,Zaid,0,19.8,Arid,Groundnut
Karnataka,Mysore,Clay,Kharif,0,18.7,Humid,Rice
Maharashtra,Ahmednagar,Clay,Kharif,0,3.4,Semi-arid,Rice
Maharashtra,Nashik,Black,Kharif,0,20.7,Semi-arid,Jowar
Karnataka,Belgaum,Black,Zaid,1,13.4,Semi-arid,Sunflower
Gujarat,Surat,Red,Rabi,0,22.5,Humid,Sunflower
Maharashtra,Solapur,Sandy,Zaid,1,22.4,Arid,Groundnut
Gujarat,Ahmedabad,Alluvial,Zaid,1,22.3,Arid,Onion
Karnataka,Belgaum,Loamy,Kharif,1,2.6,Semi-arid,Cotton
Gujarat,Rajkot,Sandy,Rabi,1,24.1,Semi-arid,Sunflower
Maharashtra,Kolhapur,Black,Rabi,1,12.3,Humid,Gram
Karnataka,Mysore,Red,Zaid,0,18.5,Humid,Maize
Maharashtra,Aurangabad,Alluvial,Kharif,1,6.3,Semi-arid,Rice
Gujarat,Rajkot,Clay,Zaid,0,24.1,Semi-arid,Maize
Gujarat,Surat,Red,Zaid,1,22.8,Humid,Groundnut
Karnataka,Gulbarga,Sandy,Zaid,1,2.6,Semi-arid,Groundnut
Maharashtra,Pune,Loamy,Rabi,1,13.7,Semi-arid,Wheat
Karnataka,Mysore,Clay,Zaid,1,24.1,Humid,Maize
Gujarat,Junagadh,Sandy,Rabi,0,17.4,Arid,Sunflower
Gujarat,Ahmedabad,Laterite,Rabi,0,12.1,Arid,Sunflower
Gujarat,Surat,Red,Rabi,0,24.2,Humid,Sunflower
Gujarat,Vadodara,Sandy,Zaid,1,20.6,Semi-arid,Groundnut
Gujarat,Rajkot,Red,Zaid,1,7.2,Semi-arid,Sunflower
Maharashtra,Aurangabad,Sandy,Kharif,1,20.0,Semi-arid,Groundnut
Karnataka,Bangalore Rural,Clay,Zaid,1,23.8,Semi-arid,Groundnut
Maharashtra,Kolhapur,Loamy,Kharif,1,10.2,Humid,Cotton
Gujarat,Rajkot,Black,Rabi,0,6.1,Semi-arid,Sunflower
Maharashtra,Pune,Laterite,Rabi,0,12.1,Semi-arid,Wheat
Karnataka,Belgaum,Black,Kharif,0,19.4,Semi-arid,Jowar
Gujarat,Rajkot,Sandy,Kharif,0,24.2,Semi-arid,Groundnut
Gujarat,Ahmedabad,Clay,Rabi,1,15.4,Arid,Gram
Maharashtra,Satara,Black,Zaid,1,8.5,Humid,Sunflower
Gujarat,Junagadh,Black,Kharif,1,10.1,Arid,Sunflower
Gujarat,Rajkot,Sandy,Kharif,0,19.6,Semi-arid,Groundnut
Karnataka,Mysore,Black,Kharif,1,14.5,Humid,Cotton
Karnataka,Bangalore Rural,Laterite,Kharif,1,0.7,Semi-arid,Groundnut
Karnataka,Belgaum,Black,Kharif,1,1.3,Semi-arid,Cotton
Karnataka,Hubli,Clay,Zaid,1,17.5,Semi-arid,Onion
Karnataka,Bangalore Rural,Black,Zaid,1,22.5,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Loamy,Kharif,0,21.8,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Clay,Zaid,0,2.5,Semi-arid,Onion
Karnataka,Hubli,Clay,Rabi,1,1.5,Semi-arid,Gram
Karnataka,Mysore,Red,Rabi,1,16.4,Humid,Sunflower
Gujarat,Surat,Alluvial,Zaid,1,18.7,Humid,Onion
Maharashtra,Ahmednagar,Alluvial,Rabi,1,16.5,Semi-arid,Gram
Maharashtra,Aurangabad,Alluvial,Rabi,1,5.9,Semi-arid,Onion
Gujarat,Ahmedabad,Loamy,Kharif,0,18.3,Arid,Sunflower
Maharashtra,Nagpur,Laterite,Rabi,0,1.5,Sub-humid,Wheat
Maharashtra,Nagpur,Red,Kharif,1,15.4,Sub-humid,Jowar
Karnataka,Hubli,Alluvial,Zaid,1,9.3,Semi-arid,Maize
Karnataka,Gulbarga,Loamy,Kharif,1,18.0,Semi-arid,Soybean
Gujarat,Surat,Laterite,Rabi,0,4.9,Humid,Wheat
Maharashtra,Pune,Clay,Rabi,0,11.4,Semi-arid,Gram
Maharashtra,Nagpur,Red,Zaid,1,10.1,Sub-humid,Sunflower
Karnataka,Mysore,Sandy,Kharif,1,19.5,Humid,Groundnut
Maharashtra,Ahmednagar,Loamy,Zaid,1,2.3,Semi-arid,Maize
Karnataka,Gulbarga,Red,Rabi,1,11.5,Semi-arid,Sunflower
Maharashtra,Pune,Clay,Kharif,1,9.2,Semi-arid,Rice
Maharashtra,Pune,Laterite,Zaid,0,5.5,Semi-arid,Groundnut
Karnataka,Hubli,Black,Zaid,1,1.8,Semi-arid,Sunflower
Gujarat,Junagadh,Sandy,Zaid,1,12.9,Arid,Groundnut
Karnataka,Bangalore Rural,Sandy,Rabi,0,0.6,Semi-arid,Wheat
Karnataka,Gulbarga,Black,Zaid,1,13.1,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Loamy,Rabi,1,17.8,Semi-arid,Sunflower
Gujarat,Surat,Sandy,Kharif,0,4.3,Humid,Groundnut
Gujarat,Surat,Black,Zaid,0,9.7,Humid,Sunflower
Karnataka,Belgaum,Red,Zaid,1,1.2,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Black,Kharif,1,16.6,Semi-arid,Sunflower
Maharashtra,Pune,Red,Rabi,1,25.0,Semi-arid,Sunflower
Maharashtra,Pune,Black,Kharif,0,19.7,Semi-arid,Soybean
Maharashtra,Aurangabad,Laterite,Rabi,1,8.5,Semi-arid,Onion
Karnataka,Hubli,Red,Kharif,0,11.2,Semi-arid,Groundnut
Karnataka,Belgaum,Sandy,Zaid,1,15.4,Semi-arid,Groundnut
Gujarat,Vadodara,Sandy,Kharif,1,13.9,Semi-arid,Groundnut
Karnataka,Hubli,Alluvial,Zaid,1,16.2,Semi-arid,Onion
Maharashtra,Aurangabad,Sandy,Rabi,0,21.3,Semi-arid,Wheat
Maharashtra,Nashik,Black,Kharif,1,14.7,Semi-arid,Soybean
Gujarat,Rajkot,Loamy,Rabi,0,18.0,Semi-arid,Gram
Maharashtra,Ahmednagar,Alluvial,Zaid,0,2.2,Semi-arid,Onion
Gujarat,Rajkot,Loamy,Kharif,1,5.3,Semi-arid,Maize
Maharashtra,Nagpur,Clay,Zaid,0,13.5,Sub-humid,Sunflower
Karnataka,Bangalore Rural,Clay,Rabi,1,24.4,Semi-arid,Wheat
Karnataka,Mysore,Loamy,Zaid,0,20.1,Humid,Maize
Gujarat,Ahmedabad,Red,Kharif,1,24.1,Arid,Sunflower
Gujarat,Ahmedabad,Laterite,Kharif,1,23.8,Arid,Tur
Karnataka,Gulbarga,Clay,Kharif,0,16.3,Semi-arid,Rice
Maharashtra,Kolhapur,Red,Kharif,1,19.6,Humid,Maize
Gujarat,Vadodara,Laterite,Zaid,1,2.8,Semi-arid,Groundnut
Maharashtra,Ahmednagar,Red,Kharif,1,18.6,Semi-arid,Tur
Gujarat,Junagadh,Black,Rabi,1,16.2,Arid,Gram
Gujarat,Surat,Black,Rabi,1,1.9,Humid,Sunflower
Gujarat,Junagadh,Red,Zaid,1,11.4,Arid,Sunflower
Gujarat,Vadodara,Clay,Zaid,1,8.8,Semi-arid,Onion
Maharashtra,Satara,Laterite,Kharif,0,5.2,Humid,Groundnut
Gujarat,Ahmedabad,Loamy,Kharif,1,2.2,Arid,Soybean
Gujarat,Junagadh,Clay,Rabi,1,6.2,Arid,Gram
Karnataka,Hubli,Loamy,Rabi,1,24.9,Semi-arid,Gram
Karnataka,Bangalore Rural,Red,Kharif,1,17.4,Semi-arid,Maize
Karnataka,Belgaum,Loamy,Kharif,1,24.5,Semi-arid,Cotton
Karnataka,Gulbarga,Loamy,Zaid,1,24.8,Semi-arid,Sunflower
Maharashtra,Pune,Clay,Kharif,1,6.8,Semi-arid,Rice
Maharashtra,Kolhapur,Laterite,Rabi,1,2.0,Humid,Sunflower
Gujarat,Surat,Sandy,Rabi,1,9.0,Humid,Sunflower
Maharashtra,Aurangabad,Alluvial,Rabi,1,15.2,Semi-arid,Onion
Gujarat,Rajkot,Loamy,Rabi,1,10.1,Semi-arid,Gram
Maharashtra,Nashik,Clay,Rabi,1,17.0,Semi-arid,Wheat
Karnataka,Mysore,Loamy,Rabi,1,10.4,Humid,Sunflower
Karnataka,Mysore,Red,Rabi,0,16.2,Humid,Sunflower
Maharashtra,Kolhapur,Clay,Kharif,0,12.4,Humid,Rice
Karnataka,Gulbarga,Laterite,Zaid,0,20.7,Semi-arid,Groundnut
Karnataka,Gulbarga,Red,Kharif,1,2.5,Semi-arid,Groundnut
Maharashtra,Ahmednagar,Clay,Rabi,1,21.4,Semi-arid,Gram
Gujarat,Surat,Laterite,Zaid,1,2.0,Humid,Groundnut
Karnataka,Belgaum,Red,Rabi,0,1.9,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Alluvial,Kharif,1,3.5,Semi-arid,Maize
Gujarat,Vadodara,Black,Zaid,1,6.2,Semi-arid,Sunflower
Maharashtra,Nagpur,Laterite,Rabi,1,3.7,Sub-humid,Wheat
Karnataka,Gulbarga,Alluvial,Zaid,1,12.3,Semi-arid,Maize
Maharashtra,Satara,Sandy,Rabi,1,3.8,Humid,Gram
Karnataka,Gulbarga,Red,Zaid,1,13.6,Semi-arid,Groundnut
Maharashtra,Nashik,Red,Kharif,0,20.1,Semi-arid,Tur
Maharashtra,Aurangabad,Black,Zaid,1,21.2,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Red,Rabi,1,9.7,Semi-arid,Sunflower
Karnataka,Hubli,Sandy,Rabi,0,23.9,Semi-arid,Wheat
Maharashtra,Pune,Black,Rabi,1,6.7,Semi-arid,Wheat
Karnataka,Bangalore Rural,Sandy,Zaid,1,10.0,Semi-arid,Groundnut
Maharashtra,Ahmednagar,Black,Zaid,1,4.2,Semi-arid,Sunflower
Maharashtra,Ahmednagar,Sandy,Kharif,1,18.8,Semi-arid,Groundnut
Gujarat,Rajkot,Black,Kharif,1,10.0,Semi-arid,Sunflower
Gujarat,Vadodara,Loamy,Zaid,1,5.0,Semi-arid,Maize
Maharashtra,Kolhapur,Clay,Rabi,0,7.0,Humid,Gram
Maharashtra,Ahmednagar,Black,Kharif,1,5.5,Semi-arid,Cotton
Karnataka,Bangalore Rural,Clay,Kharif,1,13.5,Semi-arid,Rice
Karnataka,Hubli,Sandy,Zaid,0,15.2,Semi-arid,Groundnut
Gujarat,Vadodara,Red,Zaid,1,3.2,Semi-arid,Maize
Maharashtra,Pune,Alluvial,Rabi,1,15.5,Semi-arid,Wheat
Karnataka,Bangalore Rural,Sandy,Zaid,0,16.3,Semi-arid,Groundnut
Karnataka,Belgaum,Laterite,Kharif,1,16.1,Semi-arid,Groundnut
Karnataka,Bangalore Rural,Alluvial,Rabi,0,7.1,Semi-arid,Onion
Maharashtra,Nashik,Red,Kharif,1,2.8,Semi-arid,Tur
Gujarat,Rajkot,Loamy,Kharif,1,19.1,Semi-arid,Sunflower
Gujarat,Rajkot,Loamy,Kharif,1,14.6,Semi-arid,Soybean
Maharashtra,Ahmednagar,Red,Rabi,1,6.5,Semi-arid,Sunflower
Maharashtra,Nagpur,Alluvial,Rabi,1,8.1,Sub-humid,Wheat
Karnataka,Mysore,Alluvial,Rabi,1,19.7,Humid,Onion
Karnataka,Hubli,Red,Rabi,1,18.8,Semi-arid,Sunflower
Karnataka,Gulbarga,Black,Zaid,0,21.1,Semi-arid,Sunflower
Gujarat,Junagadh,Red,Zaid,1,18.2,Arid,Sunflower
Gujarat,Surat,Sandy,Rabi,1,17.5,Humid,Sunflower
Karnataka,Bangalore Rural,Laterite,Kharif,1,10.4,Semi-arid,Tur
Maharashtra,Satara,Alluvial,Kharif,1,14.3,Humid,Rice
Karnataka,Hubli,Clay,Rabi,1,1.1,Semi-arid,Gram
Gujarat,Rajkot,Clay,Kharif,0,24.6,Semi-arid,Rice
Gujarat,Junagadh,Laterite,Rabi,1,11.1,Arid,Sunflower
Maharashtra,Aurangabad,Laterite,Zaid,0,18.5,Semi-arid,Groundnut
Maharashtra,Pune,Clay,Zaid,1,10.5,Semi-arid,Onion
Gujarat,Ahmedabad,Red,Kharif,1,9.4,Arid,Maize
Maharashtra,Aurangabad,Black,Rabi,0,7.2,Semi-arid,Gram
Maharashtra,Aurangabad,Sandy,Zaid,1,11.0,Semi-arid,Groundnut
Maharashtra,Solapur,Sandy,Kharif,1,23.5,Arid,Groundnut
Karnataka,Bangalore Rural,Clay,Zaid,0,22.8,Semi-arid,Onion
Karnataka,Belgaum,Clay,Rabi,1,3.8,Semi-arid,Wheat
Maharashtra,Nagpur,Sandy,Rabi,1,1.6,Sub-humid,Sunflower
Gujarat,Rajkot,Loamy,Rabi,1,7.2,Semi-arid,Wheat
Karnataka,Belgaum,Sandy,Rabi,1,12.4,Semi-arid,Sunflower
Karnataka,Hubli,Alluvial,Kharif,1,8.2,Semi-arid,Rice
